Filename,Paths
hh.exe,C:\Windows\hh.exe
hh.exe,C:\Windows\SysWOW64\hh.exe
hh.exe,C:\Windows\hh.exe
hh.exe,C:\Windows\SysWOW64\hh.exe
imewdbld.exe,C:\Windows\System32\IME\SHARED\IMEWDBLD.exe
ie4uinit.exe,C:\windows\system32\ie4uinit.exe
ie4uinit.exe,C:\windows\sysWOW64\ie4uinit.exe
ie4uinit.exe,C:\windows\system32\ieuinit.inf
ie4uinit.exe,C:\windows\sysWOW64\ieuinit.inf
iediagcmd.exe,C:\Program Files\Internet Explorer\iediagcmd.exe
ieexec.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe
ieexec.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\ieexec.exe
ieexec.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe
ieexec.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\ieexec.exe
ilasm.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe
ilasm.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ilasm.exe
ilasm.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe
ilasm.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ilasm.exe
infdefaultinstall.exe,C:\Windows\System32\Infdefaultinstall.exe
infdefaultinstall.exe,C:\Windows\SysWOW64\Infdefaultinstall.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe
installutil.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Jsc.exe
jsc.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Jsc.exe
ldifde.exe,C:\windows\system32\ldifde.exe
ldifde.exe,C:\windows\syswow64\ldifde.exe
makecab.exe,C:\Windows\System32\makecab.exe
makecab.exe,C:\Windows\SysWOW64\makecab.exe
mavinject.exe,C:\Windows\System32\mavinject.exe
mavinject.exe,C:\Windows\SysWOW64\mavinject.exe
microsoft.workflow.compiler.exe,C:\Windows\Microsoft.Net\Framework64\v4.0.30319\Microsoft.Workflow.Compiler.exe
microsoft.workflow.compiler.exe,C:\Windows\Microsoft.Net\Framework64\v4.0.30319\Microsoft.Workflow.Compiler.exe
microsoft.workflow.compiler.exe,C:\Windows\Microsoft.Net\Framework64\v4.0.30319\Microsoft.Workflow.Compiler.exe
mmc.exe,C:\Windows\System32\mmc.exe
mmc.exe,C:\Windows\SysWOW64\mmc.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\.*\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.7-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.9-0\MpCmdRun.exe
mpcmdrun.exe,C:\Program Files\Windows Defender\MpCmdRun.exe
